aetPValue,custPValue,dtfPValue,fwbtPValue,lorbPValue,mtPValue,retPValue,revtPValue,rtPValue,stPValue,lable
0.275,0.153,0.848,0.93,0.097,0.12,0.183,0.394,0.958,0.275,0
0.717,0.881,0.852,0.131,0.289,0.956,0.028,0.193,0.862,0.519,0
0.29,0.574,0.77,0.872,0.101,0.807,0.081,0.226,0.783,0.058,0
0.409,0.423,0.93,0.439,0.93,0.375,0.159,0.211,0.265,0.336,0
0.201,0.833,0.66,0.958,0.192,0.951,0.027,0.188,0.375,0.201,0
0.03,0.12,0.656,0.552,0.952,0.123,0.071,0.201,0.135,0.03,0
0.821,0.544,0.151,0.771,0.017,0.324,0.013,0.138,0.222,0.821,0
0.175,0.054,0.315,0.899,0.079,0.037,0.023,0.011,0.548,0.174,0
0.019,0.018,0.748,0.133,0.89,0.021,0.115,0.28,0.017,0.019,0
0.129,0.781,0.038,0.222,0.99,0.966,0.072,0.215,0.236,0.129,0
0.025,0.02,0.118,0.369,0.611,0.013,0.479,0.235,0.62,0.025,0
0.194,0.088,0.555,0.988,0.421,0.098,0.035,0.074,0.452,0.193,0
0.632,0.385,0.263,0.284,0.922,0.785,0.052,0.079,0.885,0.497,0
0.878,0.666,0.719,0.738,0.799,0.941,0.495,0.392,0.326,0.878,0
0.574,0.485,0.653,0.574,0.253,0.471,0.061,0.045,0.649,0.268,0
0.866,0.341,0.046,0.689,0.042,0.461,0.103,0.285,0.472,0.741,3
0.625,0.647,0.522,0.413,0.928,0.642,0.306,0.32,0.319,0.339,3
0.939,0.409,0.629,0.787,0.265,0.319,0,0.059,0.77,0.776,3
0.598,0.356,0.042,0.953,0.806,0.29,0.065,0.175,0.447,0.551,3
0.012,0.549,0.88,0.518,0.16,0.868,0,0,0,0.012,3
0.514,0.475,0.572,0.115,0.563,0.586,0.127,0.171,0.755,0.408,3
0.466,0.191,0.812,0.331,0.379,0.13,0.186,0.178,0.525,0.31,3
0.469,0.572,0.512,0.864,0.96,0.556,0.028,0.034,0.102,0.467,3
0.878,0.592,0.417,0.331,0.621,0.951,0.404,0.333,0.287,0.771,3
0.872,0.498,0.633,0.368,0.609,0.584,0.023,0,0.679,0.819,3
0.461,0.664,0.978,0.67,0.567,0.803,0.127,0.048,0.108,0.461,3
0.316,0.896,0.181,0.95,0.066,0.771,0.438,0.199,0.968,0.057,3
0.461,0.051,0.514,0.199,0.503,0.083,0.106,0.337,0.071,0.461,3
0.189,0.054,0.465,0.432,0.079,0.038,0.068,0.047,0.981,0.189,3
0.997,0.616,0.813,0.159,0.634,0.914,0.519,0.282,0.621,0.974,3
0.456,0.183,0.374,0.956,0.766,0.655,0.043,0.21,0.399,0.165,3
0.506,0.237,0.095,0.285,0.464,0.208,0.123,0.159,0.32,0.507,3
0.552,0.339,0,0.912,0.51,0.27,0.062,0.023,0.219,0.461,3
0.954,0.41,0.679,0.924,0.255,0.562,0.241,0.182,0.383,0.829,3
0.771,0.868,0.654,0.028,0.047,0.891,0.04,0.468,0.658,0.374,3
0.757,0.32,0.417,0.415,0.37,0.99,0.245,0.308,0.5,0.404,3
0.372,0.672,0.22,0.609,0.653,0.926,0.295,0,0.134,0.366,3
0.692,0.329,0.467,0.495,0.409,0.311,0.172,0.403,0.693,0.692,3
0.88,0.368,0.176,0.808,0.09,0.392,0.048,0.028,0.426,0.82,3
0.689,0.655,0.524,0.326,0.131,0.788,0.103,0.05,0.969,0.35,3
0.938,0.307,0.319,0.395,0.088,0.391,0.27,0.101,0.66,0.938,3
0.813,0.417,0.121,0.903,0.459,0.909,0.235,0.254,0.211,0.61,3
0.126,0.21,0.868,0.355,0.866,0.27,0.066,0.036,0,0.126,3
0.665,0.631,0.792,0.829,0.08,0.561,0.1,0.067,0.891,0.665,3
0.537,0.587,0.476,0.088,0.906,0.855,0.078,0.047,0.274,0.493,3
0.181,0.105,0.78,0.06,0.798,0.203,0.06,0,0,0.181,3
0.096,0.779,0.39,0.758,0.218,0.712,0.401,0.093,0.067,0.096,3
0.281,0.307,0.632,0.904,0.648,0.8,0.074,0.097,0.467,0.281,3
0.104,0.222,0.238,0.219,0.593,0.203,0.095,0.068,0.912,0.104,3
0.298,0.232,0.919,0.934,0.931,0.409,0.131,0.167,0.812,0.068,3
0.566,0.396,0.789,0.13,0.113,0.366,0.305,0.077,0.268,0.566,3
0.66,0.798,0.901,0.589,0.185,0.868,0.323,0.399,0.903,0.66,3
0.053,0.712,0,0.331,0.642,0.701,0.189,0.015,0,0.053,3
0.076,0.059,0.954,0.88,0.039,0.088,0.024,0,0.494,0.046,3
0.165,0.304,0.015,0.813,0.748,0.785,0.219,0.162,0.144,0.127,3
0.192,0.129,0.703,0.909,0.829,0.107,0.048,0,0.109,0.192,3
0.608,0.613,0.143,0.946,0.576,0.911,0.231,0.044,0.754,0.348,3
0.133,0.099,0.82,0.547,0.603,0.179,0.084,0.153,0.13,0.133,3
0.493,0.098,0.26,0.273,0.676,0.101,0.056,0,0.519,0.495,3
0.812,0.662,0.98,0.328,0.498,0.642,0.058,0.012,0.39,0.812,3
0.24,0.36,0.304,0.305,0.044,0.368,0.415,0.108,0.272,0.237,3
0.955,0.887,0.604,0.806,0.167,0.947,0.019,0.016,0.31,0.914,3
0.357,0.512,0.572,0.851,0.185,0.485,0.189,0,0.824,0.356,3
0.114,0.41,0.484,0.622,0.755,0.511,0.13,0.258,0.524,0.034,3
0.924,0.475,0.104,0.284,0.789,0.581,0.07,0.049,0.941,0.649,3
0.168,0.035,0.392,0.449,0.734,0.129,0.033,0.062,0.378,0.168,3
0.567,0.553,0.061,0.85,0.554,0.517,0.233,0.162,0.805,0.328,3
0.393,0.26,0.987,0.7,0.348,0.65,0.258,0.31,0.225,0.279,3
0.368,0.493,0.098,0.715,0.034,0.414,0,0.264,0.06,0.367,3
0.533,0.933,0.272,0.233,0.25,0.822,0.222,0.025,0.865,0.211,3
0.921,0.054,0.397,0.09,0.439,0.164,0.37,0.273,0.859,0.875,3
0.053,0.555,0.118,0.642,0.205,0.926,0.059,0.08,0.013,0.053,3
0.278,0.305,0.635,0.468,0.543,0.21,0.047,0.045,0.036,0.278,3
0.027,0.022,0.013,0.524,0.89,0.028,0,0,0.642,0.027,3
0.254,0.363,0.794,0.881,0.3,0.335,0.238,0,0.155,0.132,3
0.902,0.528,0.421,0.431,0.855,0.747,0.216,0.099,0.653,0.584,3
0.762,0.345,0.612,0.331,0.107,0.554,0.181,0.095,0.561,0.485,3
0.35,0.268,0.525,0.542,0.286,0.38,0.019,0.036,0.639,0.209,3
0.902,0.114,0.108,0.324,0.896,0.353,0.065,0,0.39,0.879,3
0.051,0.059,0.896,0.657,0.897,0.3,0.306,0.252,0.68,0.051,3
0.436,0.509,0.774,0,0.036,0.632,0.171,0.28,0.266,0.311,3
0.511,0.255,0.461,0.192,0.37,0.235,0.219,0.508,0.448,0.488,3
0.15,0.216,0.688,0.057,0.109,0.582,0.095,0.236,0.256,0.109,3
0.292,0.205,0.122,0.851,0.378,0.197,0.272,0.331,0.041,0.292,3
0.192,0.181,0.358,0.109,0.296,0.456,0.018,0.045,0.11,0.123,3
0.299,0.73,0.315,0.881,0.589,0.888,0.153,0.179,0.136,0.209,3
0.805,0.764,0.88,0.915,0.209,0.699,0.02,0.028,0.089,0.805,3
0.124,0.276,0.885,0.705,0.429,0.167,0.315,0.272,0.098,0.124,3
0.688,0.455,0.194,0.856,0.68,0.489,0.124,0.136,0.986,0.337,3
0.591,0.723,0.498,0.933,0.906,0.684,0.017,0,0.55,0.591,3
0.487,0.274,0.631,0.504,0.557,0.184,0.033,0.037,0.775,0.301,3
0.431,0.101,0.763,0.039,0.769,0.13,0,0.252,0.758,0.41,3
0.197,0.41,0.496,0.293,0.452,0.749,0.291,0.098,0.302,0.046,3
0.335,0.063,0.578,0.649,0.163,0.042,0.096,0.087,0.795,0.311,3
0.383,0.254,0.76,0.82,0.998,0.248,0.083,0.168,0.413,0.216,3
0.828,0.866,0.549,0.583,0.911,0.869,0.061,0.046,0.99,0.489,3
0.8,0.228,0.304,0.274,0.029,0.177,0.112,0.129,0.842,0.727,3
0.635,0.459,0.729,0.436,0.634,0.834,0,0,0.884,0.635,3
0.308,0.266,0.687,0.81,0.628,0.417,0.342,0.316,0.716,0.158,3
0.22,0.835,0.84,0.98,0.795,0.964,0.105,0.262,0.747,0.22,3
0.609,0.128,0.18,0.807,0.356,0.089,0.053,0.052,0.536,0.581,3
0.214,0.909,0.552,0.3,0.473,0.86,0.059,0.015,0,0.215,3
0.683,0.891,0.252,0.33,0.895,0.891,0.111,0.016,0.306,0.461,3
0.885,0.597,0.279,0.259,0.549,0.877,0.033,0.204,0.511,0.696,3
0.478,0.748,0.157,0.534,0.369,0.941,0.113,0.065,0.307,0.172,3
0.128,0.223,0.729,0.69,0.373,0.301,0.186,0.031,0.872,0.044,3
0.2,0.33,0.418,0.556,0.623,0.644,0.142,0.336,0.436,0.2,3
0.935,0.236,0.254,0.311,0.069,0.374,0.111,0.041,0.411,0.855,3
0.659,0.316,0.841,0.14,0.89,0.344,0.108,0.124,0.481,0.485,3
0.2,0.924,0.774,0.498,0.868,0.932,0.284,0.255,0.858,0.056,3
0.021,0.651,0.113,0.717,0.499,0.588,0.083,0.021,0.116,0.021,3
0.648,0.664,0.367,0.129,0.546,0.579,0.294,0.054,0.124,0.599,3
0.894,0.907,0.956,0.115,0.464,0.697,0.166,0.091,0.747,0.57,3
0.704,0.175,0.678,0.722,0.42,0.325,0.096,0,0.855,0.365,3
0.063,0.051,0.812,0.961,0.039,0.043,0.179,0.125,0.499,0.063,3
